"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lon","lat"
"x150688186","x1102985828660322306",2019-03-05 17:34:48,"KCMOHealthDept","Some ways to make sure you don't contract or spread the flu: 
1) Get a #FluShot
2) Cover ur mouth &amp; hands when you cough
3) Wash ur hands regularly 
4) Stay home if ur sick
5) Oh, did we mention getting a #FluShot? #MoreHealthKC 
https://t.co/HLlbQKAENv https://t.co/HkDdixJaTL","Sprout Social",257,,,,FALSE,FALSE,1,0,"FluShot FluShot MoreHealthKC",,"bit.ly/2Qw8UEi","https://t.co/HLlbQKAENv","https://bit.ly/2Qw8UEi","http://pbs.twimg.com/media/D06Xw-NWwAAr0tg.png","https://t.co/HkDdixJaTL","https://twitter.com/KCMOHealthDept/status/1102985828660322306/photo/1","photo","http://pbs.twimg.com/media/D06Xw-NWwAAr0tg.png","https://t.co/HkDdixJaTL","https://twitter.com/KCMOHealthDept/status/1102985828660322306/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KCMOHealthDept/status/1102985828660322306","KCMO Health Dept","Kansas City, Mo.","Official Twitter account for the City of Kansas City, Mo., Health Department, 2400 Troost Ave., 64108. Directed by @RexArcherMD.","https://t.co/EVpEZG7Mb4",FALSE,5018,1549,166,4780,4448,2010-06-01 15:24:39,FALSE,"https://t.co/EVpEZG7Mb4","http://www.kcmo.gov/health","en","https://pbs.twimg.com/profile_banners/150688186/1549404735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1076139939824324609/1eESCQ6s_normal.jpg",-94.5785667,39.0997265
"x1018270304","x1102983345573634048",2019-03-05 17:24:56,"AuthorLMFry","Ugh, the flu sucks. Ant, Hetti, and I are walking zombies right now. #flusucks #zombie #flushot https://t.co/oJJPtVRfyK","Instagram",119,,,,FALSE,FALSE,0,0,"flusucks zombie flushot",,"instagram.com/p/BuoonQqBnDl/…","https://t.co/oJJPtVRfyK","https://www.instagram.com/p/BuoonQqBnDl/?utm_source=ig_twitter_share&igshid=1pu7t5aea2fne",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AuthorLMFry/status/1102983345573634048","L.M. Fry","Oklahoma, USA","https://t.co/8Ar5zuyRKm Author of YA & NA paranormal romance, sci-fi, fantasy, and thrillers. Wife & Mother. Canada Born. Lover of Owls and My Cat (Applebee)","http://t.co/8Ar5zuhglM",FALSE,711,715,25,447,45,2012-12-17 20:31:40,FALSE,"http://t.co/8Ar5zuhglM","http://lmfry.com","en","https://pbs.twimg.com/profile_banners/1018270304/1532472971","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/699969430873190400/bi0i3sMG_normal.jpg",-97.092877,35.0077519
"x292493063","x1102975927829651459",2019-03-05 16:55:28,"Potrblog","Attend the #FDA's 2018-2019 #Flu #vaccine selection #WEBEX Wednesday at
https://t.co/Y0IMLMLypl

If you want to understand the #Voodoo and #SausageMaking that goes into the #FluShot watch the experts live as they create the 2019 #influenza vaccine

#H3N2 will be most enlightening","Twitter Web Client",280,"x1102768767908630528","x292493063","Potrblog",FALSE,FALSE,0,0,"FDA Flu vaccine WEBEX Voodoo SausageMaking FluShot influenza H3N2",,"fda.gov/downloads/Advi…","https://t.co/Y0IMLMLypl","https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/VaccinesandRelatedBiologicalProductsAdvisoryCommittee/UCM632330.pdf",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Potrblog/status/1102975927829651459","Potrblog.com","Saint Louis","Pissin' On The Roses: 

Feral dogs, out in the cold, marking our dissent, one rosebush at a time.","http://t.co/nnCIdOkkPJ",FALSE,442,0,36,7177,121,2011-05-03 18:52:51,FALSE,"http://t.co/nnCIdOkkPJ","http://pissinontheroses.blogspot.com/","en","https://pbs.twimg.com/profile_banners/292493063/1378758404","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000435610186/47a6ada484567f73249deb673b8dcc74_normal.jpeg",-90.1994042,38.6270025
"x292493063","x1102768767908630528",2019-03-05 03:12:17,"Potrblog","We should know more from the Wed 3/6 #VRBPAC #FluShot meeting, until then this chart from the Oct meeting indicates the common US #H3N2 #vaccine offers no protection against the expected strains &amp; even less against the #3C3a strain 
The #FluBlok brand might maybe offer protection https://t.co/b30ohAY0Jq","Twitter Web Client",284,"x1102693458261741570","x292493063","Potrblog",FALSE,FALSE,0,0,"VRBPAC FluShot H3N2 vaccine 3C3a FluBlok",,,,,"http://pbs.twimg.com/media/D03R8jUXgAA51Ig.jpg","https://t.co/b30ohAY0Jq","https://twitter.com/Potrblog/status/1102768767908630528/photo/1","photo","http://pbs.twimg.com/media/D03R8jUXgAA51Ig.jpg","https://t.co/b30ohAY0Jq","https://twitter.com/Potrblog/status/1102768767908630528/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Potrblog/status/1102768767908630528","Potrblog.com","Saint Louis","Pissin' On The Roses: 

Feral dogs, out in the cold, marking our dissent, one rosebush at a time.","http://t.co/nnCIdOkkPJ",FALSE,442,0,36,7177,121,2011-05-03 18:52:51,FALSE,"http://t.co/nnCIdOkkPJ","http://pissinontheroses.blogspot.com/","en","https://pbs.twimg.com/profile_banners/292493063/1378758404","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000435610186/47a6ada484567f73249deb673b8dcc74_normal.jpeg",-90.1994042,38.6270025
"x972756733268406272","x1102958948380897281",2019-03-05 15:47:59,"tatumjobs","#FLUSHOT #VACCINES So called smart people believe these Scientist. Those shots are not good for EVERYONE.-PERIOD My nodes were swollen the next day. Had to go the ER. YOU WICKED WITCHES OF MEDICINE. @rolandsmartin","Twitter Web Client",213,,,,FALSE,FALSE,1,0,"FLUSHOT VACCINES",,,,,,,,,,,,,"x16116288","rolandsmartin","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tatumjobs/status/1102958948380897281","MONSTER 1-Don't Follow Me","USA","GOD BLESS AMERICA AMERICA AMERICA---PERIOD!-#keepitcoffee with people. Comment, but I need NO FOLLOWERS. Thanks and Blessings to all.",,FALSE,48,462,0,21415,6890,2018-03-11 08:50:52,FALSE,,,"en","https://pbs.twimg.com/profile_banners/972756733268406272/1533656730",,"http://pbs.twimg.com/profile_images/1015365719385518081/or4QaClC_normal.jpg",-95.712891,37.09024
"x340356226","x1102939479571087362",2019-03-05 14:30:38,"MontefioreNYC","The #flu season isn’t over yet. There is still time to get the #flushot. Our Nereyda Franco shares more via @BronxnetTV https://t.co/etTTpLA5GO","Hootsuite Inc.",143,,,,FALSE,FALSE,1,1,"flu flushot",,"ow.ly/WVQy30nR69I","https://t.co/etTTpLA5GO","http://ow.ly/WVQy30nR69I",,,,,,,,,"x84801328","BronxnetTV","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MontefioreNYC/status/1102939479571087362","Montefiore","New York City","Academic health system nationally renowned for clinical excellence, scientific discovery & commitment to community. University Hospital for @EinsteinMed.","https://t.co/CuaMYRZod4",FALSE,9702,2367,340,31212,2230,2011-07-22 15:29:37,FALSE,"https://t.co/CuaMYRZod4","http://bit.ly/smgMMC","en","https://pbs.twimg.com/profile_banners/340356226/1498677233","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/716838771363282944/3WQQ8_1__normal.jpg",-74.0059728,40.7127753
"x16477470","x1102925306833313794",2019-03-05 13:34:19,"klp1965","On WCAX Facebook page for this article, in the comments it was stated this child had the Flu Shot! #Vermont child dies from the flu https://t.co/6GavcYn8RN #vaccines #flushot #flu #death","Twitter Web Client",186,,,,FALSE,FALSE,0,0,"Vermont vaccines flushot flu death",,"wcax.com/content/news/V…","https://t.co/6GavcYn8RN","https://www.wcax.com/content/news/Vermont-child-dies-from-the-flu-506670401.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/klp1965/status/1102925306833313794","Kathy P.","United States","“Do not let your difficulties fill you with anxiety, after all it is only in the darkest nights that stars shine more brightly.”","https://t.co/E2GcAVwzNC",FALSE,9991,9959,163,175273,963,2008-09-26 23:59:41,FALSE,"https://t.co/E2GcAVwzNC","https://klp1965.blogspot.com/","en","https://pbs.twimg.com/profile_banners/16477470/1548269590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1060376202320347137/a6F3s2yb_normal.jpg",-95.712891,37.09024
"x424664120","x1102815316751667206",2019-03-05 06:17:15,"ViraBurnayeva","Vaccines DO NOT require double blind placebo studies.

Did you know that for testing FLUBLOK vaccine, other #Flu #vaccines (such as Fluarix, Fluzone and Afluria) were used as a ""placebo"" control?

https://t.co/Vu8ZOuyuF8

#LearnTheRisk #VaccineSafety #FluShot https://t.co/GnJ5XZGzk3","Twitter Web Client",259,,,,FALSE,FALSE,8,6,"Flu vaccines LearnTheRisk VaccineSafety FluShot",,"fda.gov/downloads/Biol…","https://t.co/Vu8ZOuyuF8","https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM619551.pdf","http://pbs.twimg.com/media/D038raxX0AA8WOr.jpg","https://t.co/GnJ5XZGzk3","https://twitter.com/ViraBurnayeva/status/1102815316751667206/photo/1","photo","http://pbs.twimg.com/media/D038raxX0AA8WOr.jpg","https://t.co/GnJ5XZGzk3","https://twitter.com/ViraBurnayeva/status/1102815316751667206/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1102815316751667206","LotusOak","NoVA, USA","<U+2766> God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. <U+2766>",,FALSE,6576,6963,88,12192,1189,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg",-122.788377,45.4604
"x424664120","x1101882454791651329",2019-03-02 16:30:23,"ViraBurnayeva","@Rfaamrullah #STUDY: #FluShot Induces 4.4-Fold INCREASE in Non-Flu Acute Respiratory Infections

https://t.co/NIE00ABy7v

This is a true VACCINATED vs. UNVACCINATED study where control group got real SALINE placebo, not other #vaccine or vaccine adjuvant.

#LearnTheRisk #vaccines #FluVaccine https://t.co/v8ijNZPVWJ","Twitter Web Client",279,"x1101880289645789185","x424664120","ViraBurnayeva",FALSE,FALSE,1,1,"STUDY FluShot vaccine LearnTheRisk vaccines FluVaccine",,"cid.oxfordjournals.org/content/early/…","https://t.co/NIE00ABy7v","http://cid.oxfordjournals.org/content/early/2012/03/13/cid.cis307","http://pbs.twimg.com/media/D0qsN7AX0AA6o7u.jpg","https://t.co/v8ijNZPVWJ","https://twitter.com/ViraBurnayeva/status/1101882454791651329/photo/1","photo","http://pbs.twimg.com/media/D0qsN7AX0AA6o7u.jpg","https://t.co/v8ijNZPVWJ","https://twitter.com/ViraBurnayeva/status/1101882454791651329/photo/1",,"x941285437376577536","Rfaamrullah","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1101882454791651329","LotusOak","NoVA, USA","<U+2766> God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. <U+2766>",,FALSE,6576,6963,88,12192,1189,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg",-122.788377,45.4604
"x424664120","x1101880289645789185",2019-03-02 16:21:47,"ViraBurnayeva","@Rfaamrullah it's safer to NOT vaccinate against #Flu. There are alternatives for #FluVaccine that prevent flu more effectively &amp; don't have side effects.

#STUDY: Bovine #Colostrum is at least 3X MORE effective than #vaccination to prevent flu
https://t.co/Nw8hlvUioE

#FluShot #LearnTheRisk https://t.co/teElu2apBE","Twitter Web Client",283,"x1101874448926310406","x941285437376577536","Rfaamrullah",FALSE,FALSE,1,2,"Flu FluVaccine STUDY Colostrum vaccination FluShot LearnTheRisk",,"journals.sagepub.com/doi/10.1177/10…","https://t.co/Nw8hlvUioE","https://journals.sagepub.com/doi/10.1177/1076029606295957","http://pbs.twimg.com/media/D0qqCVHW0AARB6s.jpg","https://t.co/teElu2apBE","https://twitter.com/ViraBurnayeva/status/1101880289645789185/photo/1","photo","http://pbs.twimg.com/media/D0qqCVHW0AARB6s.jpg","https://t.co/teElu2apBE","https://twitter.com/ViraBurnayeva/status/1101880289645789185/photo/1",,"x941285437376577536","Rfaamrullah","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1101880289645789185","LotusOak","NoVA, USA","<U+2766> God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. <U+2766>",,FALSE,6576,6963,88,12192,1189,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg",-122.788377,45.4604
