"state","Freq"
"Alabama",12
"Arizona",12
"Arkansas",19
"California",173
"Colorado",37
"Connecticut",10
"Delaware",5
"Florida",43
"Georgia",59
"Idaho",1
"Illinois",49
"Indiana",25
"Iowa",7
"Kansas",156
"Kentucky",16
"Louisiana",13
"Maine",3
"Maryland",39
"Massachusetts",66
"Michigan",35
"Minnesota",6
"Mississippi",2
"Missouri",41
"Nebraska",7
"Nevada",12
"New Hampshire",3
"New Jersey",38
"New Mexico",7
"New York",123
"North Carolina",58
"Ohio",58
"Oklahoma",16
"Oregon",56
"Pennsylvania",77
"Rhode Island",3
"South Carolina",13
"South Dakota",1
"Tennessee",14
"Texas",77
"Utah",9
"Vermont",2
"Virginia",46
"Washington",22
"West Virginia",4
"Wisconsin",11
"Wyoming",1
