Date,ID,Tweet,Location
3/7/2019 15:45,1.10368E+18,b'Check out the March Issue of the International Journal of Infectious Diseases #IJID #openaccess #hepatitis\xe2\x80\xa6 https://t.co/MIcZtAoKNh',"Boston, MA"
3/7/2019 15:07,1.10367E+18,"b""Mayo Clinic Minute: The Flu Season Is Not Over And It's Not Too Late To Get A Flu Shot #Influenza #FluShot https://t.co/izCBIxKTd6""","Boston, MA, USA"
3/7/2019 14:40,1.10367E+18,b'Getting a flu shot while hospitalized lowers the chance of a heart attack https://t.co/vF2bsNC2pu via\xe2\x80\xa6 https://t.co/rn2egfCjFX',"Edmonton, Canada"
3/7/2019 13:30,1.10365E+18,"b'Did you know that children, pregnant women, adults 65 and older, and people with medical conditions have higher ris\xe2\x80\xa6 https://t.co/gMWgfYCyAR'","Tallahassee, FL"
3/7/2019 11:39,1.10362E+18,b'Updated #influenza preprint: Identifying genetic determinants of complex phenotypes from whole genome sequence data https://t.co/WZCgn4XB14',United States
3/7/2019 8:31,1.10357E+18,b'40-year old previously healthy woman intubated in the ICU for 2 weeks with #influenza. Get your fucking #flushot. \xf0\x9f\x92\x89\xf0\x9f\xa4\x97',"Boston, MA"
3/7/2019 0:45,1.10346E+18,b'Nipped in the bud: #Sanofi\xe2\x80\x99s #Fluzone High-Dose #influenza #vaccine for people aged 65+ will no longer be funded by\xe2\x80\xa6 https://t.co/yV2gTLPQEh',Australia
3/7/2019 0:16,1.10345E+18,"b'My world has become a tangled mess of cord for the heating pad and electric blanket, and so many tissues.\xe2\x80\xa6 https://t.co/7jXHo6CBH2'","Des Moines, IA"
3/7/2019 0:00,1.10345E+18,b'Study has shown that an effective prevention of #influenza is beneficial to lessen the substantial economic burden\xe2\x80\xa6 https://t.co/Dmh218LGWD',"Victoria, Aus"
3/6/2019 22:24,1.10342E+18,"b'Vaccinations save lives, protect our children, and are one of our greatest public health achievements. We should fe\xe2\x80\xa6 https://t.co/JQSvH2YWnQ'","Atlanta, GA"
3/6/2019 21:38,1.10341E+18,"b'Super interesting, I will definitely want to see when the pale rider #influenza hit #Wisconsin https://t.co/Tc6b3xTzZi'","Madison, WI"
3/6/2019 20:55,1.1034E+18,b'XOFLUZA goes for its 2nd #influenza indication in as many years. https://t.co/tQKlXXQTbL',United States
3/6/2019 19:33,1.10338E+18,b'The #Influenza virus kills tens of thousands of people per year in the US alone. Researchers are using #AI to bette\xe2\x80\xa6 https://t.co/6FSJpYsLWg',"Connecticut, USA"
